gene	GSM2611337
RAB3D	11.64
ATG101	9.94
SULF1	10.73
SNCG	6.60
SLC47A1	2.32
OR2Z1	0.00
OR52H1	0.00
MED13	14.56
CXCL6	4.52
OSCP1	7.65
TGFA	12.41
NFIX	13.15
PRICKLE1	9.26
MEX3A	8.69
SPATA31A1	0.00
FNBP4	12.31
ZAP70	9.87
STMN4	2.00
TIMELESS	7.83
MED9	9.58
LARP4B	12.79
TMEM200B	7.88
C16orf70	10.44
C9orf131	6.77
SFXN3	9.70
JAG1	13.33
HIST1H2AM	5.46
CAPN7	11.43
ZFP90	7.86
LCA5	7.61
UBQLN2	10.84
FUZ	9.17
FKBP1A	11.19
ELOVL5	12.08
RNF151	2.00
CHAF1A	7.77
TRAPPC2L	8.49
SHISA9	2.58
C4orf19	9.38
CFAP100	5.21
SLC25A37	10.53
ZNF207	13.15
TNK2	12.59
RELL2	5.70
TPRN	8.93
ACCS	8.17
MYO3B	4.75
C12orf42	0.00
ATP10A	10.19
PLGRKT	9.18
ICMT	10.78
JPH4	4.95
LPAR5	6.75
CHPT1	10.72
GNAI2	13.08
BANF1	10.03
B4GALT2	7.97
C19orf18	0.00
ARHGAP29	11.50
TNS1	13.93
TUBG1	9.23
NKX2-6	5.93
TTLL7	8.53
CRYAA	4.00
MAMDC4	8.48
COPRS	6.58
TARDBP	11.60
FABP9	2.00
ITPR1	13.92
PCK2	10.48
MTFR1	11.58
EFNB1	12.92
PMEPA1	12.28
DIO3	8.30
CNN3	14.84
JARID2	11.06
NAT8B	4.39
CIR1	9.28
MBNL2	13.53
FOXO4	9.31
NT5C2	10.43
ACOT12	3.00
SHANK1	7.41
PON2	12.41
PSMG4	7.19
FER	10.10
ARHGAP20	8.36
MSANTD4	10.17
RBPMS	12.07
ZKSCAN5	10.22
MPEG1	9.46
EPHA10	4.46
CUBN	3.91
OR6C6	0.00
ERMAP	6.57
PRKCZ	8.72
HABP4	9.08
TSPAN5	11.50
PRXL2A	8.87
FRAT2	8.75
MFSD14B	11.12
FN3K	4.39
SNN	8.84
CCNB1IP1	4.39
ARHGAP17	10.82
TBCCD1	7.94
GATAD2B	11.24
CHMP6	9.11
C2CD2L	10.25
CLNS1A	10.05
F2	3.17
RNASE12	0.00
ASPG	3.00
NKX6-1	4.00
RBFOX1	2.58
ALOX15	5.46
MATN4	6.93
CDT1	9.81
DHDDS	10.64
EPHA7	7.85
REC114	4.32
PTCH1	10.80
TCHP	8.88
ANKRD13A	12.56
PIK3R3	9.65
SENP7	10.43
MED1	12.19
KLHL6	10.26
ARHGAP1	12.47
SALL4	1.58
SNAI2	10.20
KMT2D	13.07
WNT6	6.02
BCL2L15	7.25
GALNTL5	0.00
CHIT1	5.88
CENPE	5.93
YIF1B	10.46
GPX4	12.76
UGT1A1	4.25
SORD	11.82
EXO1	6.46
TMEM209	10.17
TEX15	7.57
CNFN	0.00
PHC3	11.96
ACOT13	8.18
SLCO6A1	1.00
CBX4	12.04
METTL22	7.39
RPL9	14.26
SAMD12	5.93
OAT	13.96
MAB21L1	4.09
COPS5	9.97
CDH1	17.18
IL1R1	10.81
PRRG1	10.10
DNAJB4	13.48
OBSCN	6.75
SIGIRR	7.75
SPRY1	12.93
NHLRC2	11.15
DSG4	1.58
PRDM4	11.62
SEPT5	8.28
ZSWIM4	12.92
MYCT1	4.46
AGGF1	11.42
PCDHB11	3.70
COX14	8.52
CASP16P	2.58
MLC1	0.00
NSFL1C	11.80
KRT26	5.04
MTFMT	7.65
KCTD3	11.62
DUSP5	13.24
LY6G6C	5.64
IRX6	2.00
WSB2	12.13
SLX1A	8.16
ZNF146	10.81
FCRL1	4.70
DOCK9	12.18
GJB3	9.53
KIAA1522	12.25
GSPT2	8.46
C12orf60	7.04
M1AP	3.91
LPCAT4	10.59
ACBD6	10.73
TPH2	1.58
STYK1	7.75
PARP9	9.68
MRGPRG	0.00
ITIH2	10.39
AP2A2	12.36
FNDC5	7.91
SUPV3L1	9.93
NXPH4	1.58
EHHADH	9.41
STK35	10.49
SLC27A3	6.81
DCT	0.00
FGD5	6.58
HEATR9	4.52
LRRC29	5.88
IGF2BP1	5.25
BRCC3	9.85
GLIS3	9.65
LRCH4	9.94
SH2B1	10.46
C1D	8.54
KCNMB3	3.00
SOD3	6.21
ZKSCAN8	9.59
AGBL3	7.29
ZNF507	10.54
RNF185	10.56
SLC41A1	11.47
HELB	9.19
MEGF9	12.83
C11orf71	7.22
RTN4RL2	6.00
729800	14.20
CHRNA2	7.77
RBBP7	13.80
C19orf81	4.17
TIMD4	8.14
GAPT	2.32
PPT2	9.35
P2RY14	6.61
C11orf42	3.46
WNT11	10.53
HSD3B1	8.08
TEX10	11.69
SLC4A10	2.58
RHBDF2	11.80
PLA2G16	9.56
FLRT2	7.71
MAML1	11.86
SLC1A1	5.13
WLS	13.22
LGR5	7.10
PTGDR2	5.46
PTPRQ	10.31
PLCE1	11.74
SCG2	2.00
POM121L2	2.00
UGT2B10	6.64
APBB1IP	6.85
TMEM67	8.47
TOMM7	10.32
FCER1A	0.00
ZNF598	11.39
PTPRU	10.79
UBALD1	11.38
TRAF4	11.81
DCXR	10.95
GPR82	4.91
NICN1	8.16
HEMGN	3.91
LIME1	8.83
KCNC3	6.58
ORMDL2	8.94
TCEA2	7.69
NLRC5	8.51
MARCH3	9.77
CCND1	12.78
EIF5A	14.42
NREP	8.29
TJP1	13.66
PAK6	11.22
ADGRV1	11.36
ESYT1	12.61
RAB1A	13.44
VNN1	10.48
MRGPRD	0.00
HOXD10	7.18
SIX4	11.78
ETV2	1.00
ZNF444	9.20
DNAH11	7.96
ENTPD1	9.58
DDX4	0.00
FEV	0.00
CLDN18	1.58
BOD1L1	11.94
ZFP41	5.98
KLF2	10.40
GRAMD4	9.89
PPP1R3D	4.64
CCDC122	7.27
OFD1	9.52
BST1	4.95
SF3B4	11.14
GPC2	7.55
MAX	12.03
ANTXRL	0.00
FCHO2	11.05
LCOR	11.38
OR9Q2	0.00
CRB1	5.04
RAB33A	0.00
DHRS3	12.19
GRPEL2	11.08
PIWIL2	5.32
CERS3	7.57
ZNF426	9.31
NKIRAS2	9.39
STK36	5.98
SAA1	5.49
ISCA2	8.73
SPIC	5.88
KANK3	7.86
NKTR	13.04
AK8	3.17
CSAD	11.15
CARNMT1	10.10
SDHAF2	9.53
PHF10	11.24
TBCK	10.41
SYT14	3.32
SLC34A3	2.00
PYGB	12.69
PTPN20	0.00
TRAFD1	11.49
EIF2B1	10.01
TAAR2	0.00
DBX1	1.00
POMGNT1	11.61
ZFP69	7.59
CATSPER2	7.44
BATF2	4.25
UBE2N	12.13
KCNK7	6.15
APOA4	2.58
LETM1	11.30
KIAA1549	11.53
ZBTB37	9.50
MMGT1	10.77
SLC1A2	6.41
ONECUT2	5.81
WISP2	2.58
AIFM1	9.57
MMP10	2.00
GJD2	0.00
SIGMAR1	9.37
NOL9	11.34
PKDCC	8.27
TSNAXIP1	2.81
FKBP5	13.20
GPR141	5.17
CENPA	8.91
STPG1	4.95
CDC42SE1	11.78
IBTK	11.57
LRRN4	4.00
FCF1	9.89
IGSF10	8.86
SPG21	9.93
ARGLU1	11.55
TRAPPC10	12.67
UNC5B	12.07
G6PC	0.00
SPOCK2	9.38
PTPN21	11.12
APCS	0.00
DYNC1LI1	11.80
NSMF	11.35
BSDC1	11.98
TMEM251	9.60
HIST1H2AH	5.25
FOXD4	0.00
SLC22A6	0.00
CPNE3	11.41
FAM117A	9.42
SCNM1	8.86
NINJ1	11.30
ZNF707	8.93
PTPN9	11.34
CKAP4	11.33
BPIFA3	0.00
RNF144A	5.58
CPD	14.00
HCCS	9.67
TIMP4	9.72
MED12	11.63
BIVM	7.95
SCRN1	6.85
ULBP1	5.39
DACT3	6.44
STAP2	10.56
HSD17B11	7.98
HORMAD2	3.46
BMP7	12.81
CNPY1	0.00
CTTNBP2NL	12.15
SRCIN1	6.63
C19orf71	5.43
PHAX	10.69
BRF2	8.37
CFD	1.58
MED30	8.01
RPL27	10.47
ZFAND2B	9.03
FDFT1	11.82
BAP1	11.74
AARSD1	8.99
REPS1	11.84
MRPL17	10.41
NBN	10.70
SNTG2	5.29
PEG3	8.37
ASGR1	2.32
GOLM1	11.06
OR1E2	0.00
MT-CO2	13.44
KBTBD13	0.00
CREM	11.66
P2RY13	3.32
ITGB6	12.85
ANKRD10	11.99
HCRT	0.00
THEM4	7.71
NYNRIN	9.54
MOSPD2	10.25
AGA	8.57
UHMK1	11.54
BRIX1	10.65
MRPL45	9.37
COX4I1	12.96
GNPDA1	9.22
RSPH9	6.19
ACOX2	3.00
ZFAND2A	11.36
COL15A1	10.06
SULT4A1	4.39
SOX2	10.21
ZFAT	9.48
RRAGC	11.53
PIGM	10.46
VPS45	8.69
DUSP22	6.98
ST7	9.56
OLAH	0.00
ZBTB44	10.93
QPCT	8.01
SIM1	2.32
UBE2E1	10.68
MAPK3	11.04
CMC2	7.29
HS3ST3B1	11.43
KCNK10	1.58
PSCA	8.69
SLC34A1	2.58
LUZP1	13.22
ETAA1	7.59
TJAP1	11.00
GRIP2	13.96
KRT24	0.00
RPS17	13.93
VWA3A	6.04
ZNF644	13.03
PCDHB1	0.00
SENP8	6.85
BCHE	8.24
ST5	13.16
NMU	1.58
PARVB	7.48
GOLGA2	11.90
MPPE1	8.44
STARD9	8.10
RBPJL	7.51
NR4A3	13.57
CSF3R	3.91
LIN7C	12.84
IGSF8	10.35
LYZ	7.50
HSD17B7	9.26
RNF216	11.78
NEK6	9.65
YAE1	9.44
FBXL5	11.97
IL22	3.00
SYCP3	1.00
LTK	5.83
DDX10	10.99
MRAP2	7.57
PATL2	3.00
IRS1	11.39
TGFB1	12.00
ALOX5AP	5.61
SDC1	15.58
USP46	10.68
CELA3B	2.32
TRIM62	10.71
ZNF276	10.44
TRAPPC9	10.68
LEPR	6.32
GDF2	0.00
WDR38	5.55
SSC5D	5.78
DGKA	11.64
RFFL	11.38
WNT2B	5.46
PGR	5.61
KCNH8	4.46
ESRP2	11.57
CRTAP	9.26
DUSP13	4.00
PLEKHA1	12.28
CTRL	4.75
DUS3L	9.68
FZD3	8.51
PCSK1N	2.00
ACAP1	9.53
YES1	11.10
BRD8	11.35
NFATC1	11.87
FADD	8.32
MYL7	0.00
GBP3	2.81
USO1	11.35
MORN3	2.81
ZNF365	6.44
SLC6A1	5.00
CFAP53	6.58
MGAM	2.00
EP400	13.07
BCL9L	10.62
ZNHIT1	9.55
FAM98A	9.88
VSTM2L	1.58
ADARB1	10.78
NUFIP1	10.34
SLAMF9	4.64
NMRK1	8.49
RRAGA	9.93
G6PD	11.09
ACP1	9.97
FBXW10	5.75
GSTO2	6.13
LMNTD1	0.00
RPP14	8.99
SPATA1	7.43
PJA1	11.46
AP1B1	11.62
FUT4	7.03
IFNGR1	13.10
TLCD1	10.27
IL2RG	10.29
MTHFS	8.12
HOXA6	6.13
LIMD1	11.60
MLLT6	12.37
SS18	12.58
RHBDD2	10.07
CHMP4C	11.89
ZNF189	7.40
COL9A1	0.00
TRIM32	9.80
ZADH2	8.98
NOC4L	10.17
USP45	9.35
NIPAL4	8.38
OPLAH	9.35
FAM83H	13.32
PIK3C3	10.23
GAB3	6.44
XRCC3	7.86
ACRV1	6.46
RGS7	6.07
IQCA1	1.58
TFIP11	11.77
SAMD8	10.31
EVC	9.52
CLEC2L	3.91
SMYD4	8.90
OXGR1	0.00
RNF139	10.57
GTF3C5	9.73
TLDC2	1.58
ASCL2	6.17
EBPL	7.45
ADAM23	8.41
TIMM50	9.71
PLEKHA5	11.31
USP50	8.99
MOAP1	5.67
AKAP12	12.62
SOX5	6.58
MDC1	10.67
SF3A1	11.87
DUSP12	8.32
PQLC2	7.36
PRPF4	9.97
THAP11	9.73
NAA16	9.06
TSPAN14	12.00
UPRT	7.74
TOM1L2	11.00
HIST1H4J	8.77
PRDM14	4.17
AFMID	8.48
ECI2	10.57
ATP6V0A4	3.17
APOBEC1	11.39
DPEP3	1.00
CAPSL	6.83
RRM2	9.68
CLDN17	0.00
ATP6V0B	11.56
ANKRD54	9.63
DFFB	7.28
ZFP36L2	14.62
PSMB2	12.32
CTNNBL1	10.29
ATR	10.18
LMBRD2	10.41
ABCB4	6.25
RASSF9	7.18
MAP3K8	10.09
ARMC3	1.58
ZNF618	7.47
NEURL1	5.17
ZHX1	11.86
LHX6	5.67
RPF1	11.05
RNF133	1.58
ALOXE3	9.82
NFXL1	9.42
WDFY3	12.51
IDI1	11.48
PDZD3	2.58
ZYG11B	12.38
HIST1H4I	11.30
LAX1	10.00
ABCD4	8.10
ACCSL	0.00
PMS2	9.23
NUP43	8.10
LDHC	2.81
TLN2	11.29
MPZL2	12.88
KCTD12	12.59
PRMT6	9.48
PFKFB1	4.95
UPF1	13.04
FABP2	0.00
EML3	10.38
PIK3CB	9.76
GALP	0.00
PELO	9.63
ZNF180	10.54
EDA2R	9.68
THY1	10.47
IGFALS	7.70
CEP164	10.91
IL36G	6.07
SPARCL1	11.60
THBS2	8.20
ATF7IP2	3.17
GOPC	10.14
IL25	1.00
LPCAT2	9.92
DDX17	13.45
FAM110A	9.95
CGA	0.00
IRF2	9.58
NLRC4	5.88
MRPL47	7.83
PSORS1C2	3.58
AKAP8L	10.96
PDF	7.43
LCA5L	5.61
TMEM215	0.00
IARS	11.41
GABRA5	0.00
FAM71F2	5.78
OTOP3	1.00
CD320	8.87
SMAD3	11.46
YIPF2	10.69
TEAD1	13.21
GJA3	1.58
EIF4EBP1	11.20
CAPRIN1	14.27
ZNF559-ZNF177	8.75
GAST	1.00
TMEM130	4.00
ZFR	12.98
LEXM	2.00
SSBP3	12.29
RIPK1	11.79
CUX2	9.04
TMED4	10.51
KLHDC1	8.57
DPP7	8.57
PDE7A	11.60
DHRS9	9.64
CASP4	11.38
SPSB2	8.19
ARHGEF17	12.46
SLC13A2	1.00
GRAP2	9.29
SNUPN	7.85
TRH	4.17
OR2H2	3.91
USB1	9.43
RNF14	10.88
FAM120A	13.77
CHMP5	10.51
GPR37L1	6.98
DHDH	8.71
N4BP2L1	9.21
TFPI	9.61
BMP10	0.00
DEFB116	0.00
METTL14	9.70
TGM7	1.58
GLP2R	5.00
SVEP1	8.68
NCOR1	13.72
ATXN2L	12.10
VPS29	10.63
FARSA	11.21
SNTN	0.00
MS4A4A	0.00
OR10A6	0.00
RGS1	13.12
GUCA1B	5.25
COL4A2	14.53
HOXB3	7.98
ARMC6	7.52
NUDT22	9.44
DLD	11.60
MRPL27	8.67
GGA2	10.54
ZCWPW2	3.17
CA4	3.32
PCDHGA5	6.46
C11orf16	3.32
FES	9.82
SOX6	11.36
TMEM14C	9.96
TMEM184C	9.87
TNIK	11.49
ARSI	3.70
CCAR2	10.89
BPIFA2	0.00
PKD2L2	7.97
GPR1	5.09
ZG16	4.17
RGP1	10.37
C6orf62	13.47
ZFP91	12.37
SGK1	14.69
RASGEF1C	5.04
HIST1H2AG	6.78
LRTM2	1.00
102723545	2.81
B3GALNT1	5.17
STK26	10.63
VDAC1	11.95
MGAT4D	0.00
SOX1	5.49
IPMK	12.11
URGCP	11.02
GABRR2	5.70
GID4	10.85
ATAD2	10.56
INA	3.70
NME4	6.17
PARPBP	3.17
648044	3.17
TSPAN15	9.26
NCL	14.40
ZNF319	9.83
GPR152	4.64
BRD9	10.18
RNF219	8.31
OR51F2	0.00
CENPT	8.45
CORO1B	11.56
CSPG4	9.92
ERN2	3.17
TPRA1	9.52
HSDL1	9.90
HSPE1	12.23
ASB11	4.95
PTPN14	14.46
C17orf75	9.38
DEFB113	0.00
DSC1	5.46
ANKH	11.78
CNTLN	8.79
ZSWIM6	12.33
GAPDHS	6.04
ZEB1	10.77
NUP37	6.81
GINS3	5.95
TRMT13	7.92
SRSF2	14.19
ARAP3	8.30
TMEM106C	9.33
SERPINA7	1.00
SDHAF3	6.51
CBR3	8.06
SMIM13	8.82
TXNDC12	10.06
SPAG8	4.39
FAHD2B	7.72
CPEB1	7.76
UNC5C	7.41
USP44	4.75
MAP2K5	9.40
MCM7	10.28
TRPV6	8.27
DBR1	10.28
STX2	7.64
KHDC1L	2.00
UBASH3A	6.73
ADK	10.97
CCL28	5.95
C12orf45	15.70
ENTPD7	8.42
MARK1	10.41
ABCB5	4.91
NDUFAF1	7.64
BCAM	13.46
TMEM88B	7.01
C4orf51	1.00
GJB6	4.09
RPUSD1	6.99
LAYN	6.74
ELAVL3	5.64
SLC10A1	7.25
CHD4	15.20
C14orf28	7.82
KCND3	6.38
TSPAN9	12.14
CYTIP	11.88
TMEM14A	5.61
OR9G1	0.00
HIST1H3I	10.58
MAPK10	5.64
ZSCAN5B	3.81
GAS2L2	2.58
ELOVL7	10.93
RFX7	11.24
RAB30	8.54
TOR1A	9.30
TTC26	7.34
NID2	8.24
ST3GAL6	8.14
SAT2	6.32
SLC48A1	10.46
OR2T6	0.00
WWC2	11.39
ZNF700	0.00
MAGEB2	0.00
KLF3	12.35
TMEM52	5.64
TCF3	10.81
MBIP	8.72
GULP1	8.73
FGF21	2.32
HMGXB4	10.00
LINGO2	1.00
TNRC18	13.50
SLC22A16	0.00
MAPKAPK3	10.12
DGAT2	8.59
ARHGAP35	12.80
PELI3	7.97
CYB5A	10.79
ANGPTL6	5.17
LHX5	4.46
IZUMO1R	0.00
RWDD2B	8.31
SPATS1	0.00
ANKRD24	10.24
OR13J1	1.58
SLA	10.19
ADGRL1	11.07
MIB1	12.96
RAB13	7.48
OR5H6	0.00
CRNKL1	10.59
CPE	13.06
SLC12A8	7.39
HOXD12	5.32
TMEM234	11.73
DLX4	0.00
CSTF1	9.88
PGRMC2	10.82
TMEM140	7.95
IL2RB	13.60
NUP188	11.30
TNFRSF11A	8.61
ANO9	7.75
FKBP8	12.18
CABS1	0.00
CTH	7.73
IGFBP7	11.69
NFATC2	9.30
CYP4F12	0.00
80761	3.17
PGD	11.22
ZNF24	10.32
CLEC6A	1.58
GALNT6	7.34
RAP2C	10.13
FAM19A4	1.58
OR5AK2	0.00
DYRK2	9.86
PPAT	10.75
NR2E3	1.58
AEN	11.50
AMBN	0.00
CLEC9A	4.64
YME1L1	12.43
KLC2	10.55
BTN1A1	3.81
MS4A8	2.00
KAT8	9.05
CD276	9.09
PDZRN3	11.90
TRIM2	12.51
NLRP1	0.00
EIF6	13.22
TPP1	11.38
MRPL16	9.02
GTF3C3	9.60
SYT16	0.00
RPL6	14.98
ATG9A	10.09
MRPS26	9.77
C12orf56	4.86
BEND5	9.27
GGT7	6.57
MRPS33	8.77
SPECC1	10.64
FFAR2	5.36
POLR2E	10.63
COLEC11	4.25
NIF3L1	9.74
P3H2	8.57
STX1A	8.71
RTN4	13.99
S100A9	1.00
FAAP24	6.86
DNAJC14	10.95
ASF1A	8.86
SYN2	6.52
SEC14L1	11.97
APOBEC2	3.17
PDX1	0.00
IL18R1	9.78
EIF2AK3	11.80
KCNE3	1.58
SNX12	9.70
ESPNL	5.58
LRRC32	10.15
BATF	6.52
PCDHGC5	6.44
TNFAIP2	9.56
PRCC	11.40
TEX9	8.07
PATZ1	10.38
THUMPD3	10.67
DOK5	2.81
TOX2	5.64
PCDHGB7	7.67
TEPP	6.23
USP29	6.64
RAB18	11.21
LCTL	0.00
RPL10	11.78
GALR1	3.46
ABCE1	13.49
OR1J1	0.00
ACAD10	9.35
CLIC6	5.75
MSH6	10.96
ZNF287	7.65
PRKAB2	11.11
GRIK1	1.00
UGT1A10	0.00
C6orf106	12.83
ERCC5	10.27
EFCAB5	5.55
MRPS24	9.14
CSK	10.73
CYP11A1	5.25
NLRP9	3.17
SNRPD1	10.74
AR	12.27
MCM6	9.94
SLC2A5	2.58
NIPSNAP3A	9.11
CDKL1	2.58
GFRA4	6.85
MAGEE2	4.09
C5orf49	2.81
MFN2	11.27
SLC31A1	10.56
TMEM129	8.99
PPY	0.00
SPATA22	3.46
PRELP	12.99
CARS2	9.49
RHCE	3.00
HTT	11.79
DPYS	1.00
PIANP	7.83
DMRT1	0.00
GPR139	0.00
MEOX1	5.13
PLAUR	14.25
TUBE1	5.46
NF2	11.90
PLAGL1	9.10
SERTAD4	8.88
BIN3	9.66
MGAT1	10.88
GZMH	6.23
PCDHGB3	5.36
KRT86	2.00
ILF2	11.85
CSN2	1.58
ACTR6	7.49
PRKAR2A	11.11
CHRNA9	2.81
PPM1G	11.63
TMBIM6	14.98
C19orf25	9.75
ABHD3	6.82
TM9SF3	14.10
KIAA0040	12.78
CHST11	11.58
FZD6	11.44
CENPB	12.53
CSNK1G3	10.94
UFSP1	6.79
ZKSCAN7	7.48
ACTL6A	10.03
ARL5A	11.21
TBC1D20	11.57
ACTBL2	0.00
IL15RA	8.48
ALAS2	8.46
TCP11L1	8.19
PPARD	10.50
TTLL10	8.81
LYZL6	1.58
SPRTN	9.71
C3orf70	9.06
RGL3	8.94
NUDT16L1	8.85
GNG10	8.37
NEFH	6.19
ZNF184	6.51
BRMS1L	9.04
NINJ2	2.00
TTC27	9.22
RGS4	9.05
TMEM150A	8.14
CCDC141	8.09
ATG9B	5.43
BTN2A2	1.00
OR10Z1	0.00
TRIM68	8.65
DNAJB7	3.46
KCNB2	3.70
MCAM	10.57
COMMD8	9.45
TMEM186	8.11
DMKN	3.46
OR6C3	0.00
LMNTD2	6.67
CLDN24	3.81
MFSD9	6.93
OR2W1	0.00
BBIP1	8.56
REM2	7.71
LRPAP1	11.96
SFRP4	0.00
SYMPK	12.17
PDILT	0.00
KCTD18	8.46
SLC26A6	7.56
ALKBH1	10.40
MMP16	8.18
EPB42	6.38
ARHGEF37	7.91
ORC1	6.97
NLGN3	6.98
GPR22	3.17
NCKAP1L	10.36
BTBD16	6.49
TIGD5	8.65
SBK3	1.00
USF2	10.82
NEPRO	10.40
TCF19	6.73
FOXC1	12.30
HGH1	8.13
SMPD3	6.44
ZNF451	11.04
CYP24A1	2.32
IQUB	3.91
GTF2H5	9.84
CASP9	9.06
PHLDA3	10.80
TMEM42	8.41
SLC39A2	5.04
UBE2H	12.34
PLEK2	10.38
PTPRO	6.71
CXCR6	10.15
KCTD20	10.71
CREBBP	13.66
ZKSCAN2	6.27
RAB42	4.52
UNC80	5.78
PRMT2	8.95
TPGS1	8.07
SHE	7.61
TMED1	8.92
GALC	8.10
ADA	8.26
TAGLN3	3.00
NDUFS2	11.53
RAB28	9.24
IVNS1ABP	13.45
MAB21L3	5.58
MICU2	10.43
SPAG9	14.45
LMF1	9.52
TFEB	8.67
TMEM220	5.17
OR5L2	0.00
KANSL3	11.86
ABCC6	3.70
SYCP2	0.00
HIST1H2BA	1.00
SMC3	12.21
TBC1D2B	11.45
TMEM198	6.00
C3orf14	9.41
TIPRL	10.98
NRK	3.46
LSP1	10.46
MAML3	11.59
FEN1	8.49
SLC35G2	5.95
DNTTIP2	12.08
NUDT6	7.02
NMUR2	0.00
PFDN1	9.98
HIST1H4C	10.33
NFS1	9.51
PTX3	5.98
BCAP31	11.66
TMEM43	10.59
SURF2	10.18
NKX3-2	1.00
IFT20	10.94
COX7A2L	12.56
DOK6	5.43
RASA4	10.64
HCFC1R1	11.50
TESK1	12.11
HIST1H2BO	4.39
CCL11	10.24
OR4N5	0.00
PRSS41	2.58
TMPRSS4	4.70
POLR3B	11.09
MBOAT7	10.87
DNAJC9	9.33
PDPN	12.87
NOSIP	9.81
POGLUT1	10.05
IL2	0.00
WNT3	1.00
SCN3B	5.46
NSF	10.36
MED20	10.04
RGS5	12.82
C1QL1	3.81
UCKL1	9.42
PGM2L1	12.77
GDI2	13.63
ANXA1	12.05
SNAPC5	8.41
PPFIBP2	10.37
TGFBI	8.88
TUBGCP3	11.28
MBD4	8.30
CYP27A1	8.52
BTLA	7.77
KDSR	10.34
FABP12	2.81
ZSCAN12	7.46
SCAMP2	11.24
TNC	9.42
KLF13	13.09
SPAST	10.83
GATAD2A	13.22
TMF1	12.37
DCP1B	8.81
HOXB8	4.70
LRGUK	3.17
GPHN	10.98
WFIKKN2	4.17
GNG4	2.00
DTX3L	9.58
SMAP1	10.56
DONSON	9.07
MINOS1	9.78
CCDC153	3.70
CMA1	4.64
FGL1	10.08
STAMBPL1	9.78
PBDC1	10.63
TERF2IP	10.12
